Designator,Mid X,Mid Y,Rotation,Layer
C1,114.325,-88.7,90.0,top
C10,133.5,-99.75,0.0,top
C11,119.3,-102.0,180.0,top
C12,124.1,-94.375,90.0,top
C13,117.75,-106.25,180.0,top
C14,131.3,-94.4,90.0,top
C15,122.4,-94.375,90.0,top
C16,136.675,-106.1,0.0,top
C17,129.1,-113.175,270.0,top
C18,119.625,-75.35,270.0,top
C19,111.525,-77.7,270.0,top
C2,113.6,-116.5,180.0,top
C20,119.85,-81.25,0.0,top
C21,130.5,-119.55,270.0,top
C22,119.85,-79.0,0.0,top
C26,121.975,-89.675,270.0,top
C3,120.325,-111.6,0.0,top
C4,126.475,-79.775,90.0,top
C5,130.35,-86.375,90.0,top
C6,129.6,-94.425,90.0,top
C7,120.7,-94.375,90.0,top
C8,130.8,-113.175,270.0,top
C9,133.2,-94.425,90.0,top
D1,136.75,-107.925,0.0,top
D2,127.375,-119.375,0.0,top
F1,113.29,-71.5,0.0,top
IC1,117.475,-86.1,0.0,top
J1,144.81,-118.51,0.0,top
J10,135.59,-119.51,180.0,top
J11,112.655,-65.375,270.0,top
J13,123.63,-65.43,180.0,top
J2,113.775499,-144.33,90.0,top
J4,102.21,-118.82,0.0,top
J5,133.205499,-145.14,0.0,top
J6,142.49,-75.36,270.0,top
J7,142.49,-88.45,270.0,top
J8,137.505499,-144.58,270.0,top
J9,127.425499,-144.3885,180.0,top
L2,115.175,-80.25,180.0,top
R1,110.975,-88.95,90.0,top
R10,118.21,-71.53,0.0,top
R11,129.01,-71.505,180.0,top
R15,124.9,-113.2,270.0,top
R2,111.775,-91.4,180.0,top
R21,115.075,-84.55,90.0,top
R3,126.0,-94.425,270.0,top
R4,127.6,-94.425,270.0,top
R5,127.4,-113.2,270.0,top
R6,119.710499,-132.705,90.0,top
R7,119.760499,-136.355,270.0,top
R8,138.45,-109.825,0.0,top
R9,111.175,-83.0,270.0,top
SW1,105.3,-82.25,0.0,top
SW2,105.3,-89.575,0.0,top
SW3,105.325,-74.5,180.0,top
U1,117.85,-90.4,90.0,top
U2,111.9,-97.6,270.0,top
U3,127.6,-104.6,90.0,top
U4,130.085499,-132.53,0.0,top
U5,115.025,-75.55,0.0,top
U6,138.925,-99.175,270.0,top
U7,133.92,-80.78,270.0,top
Y1,118.51,-115.57,0.0,top
