Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C22",0805,3,22u,C45783
"C10, C8",0603,2,1u,C15849
"C11, C12, C13, C14, C15, C16, C19, C21, C5, C6, C7, C9",0603,12,100n,C14663
C17,0603,1,10u,C14663
"C18, C26",1206,2,10u,C13585
"C2, C3",0603,2,30p,C1658
C4,CP_Elec_8x10,1,220uF,C2164649
D1,0603,1,LED,C2286
D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
F1,1206,1,Polyfuse,C207036
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
IC1,LM66200DRLR,1,LM66200DRLR,C3235556
"J1, J4",PinHeader_1x17_P2.54mm_Vertical,2,Conn_01x17,
J10,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J11, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J6,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
J7,TerminalBlock_bornier-3_P5.08mm,1,Screw_Terminal_01x03,
J8,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,C88374
J9,CONN_SM04B-SRSS-TB_JST,1,SM04B-SRSS-TB,
L2,L_Sunlord_SWPA4030S,1,4.7u,C57269
R1,0603,1,1k,C21190
"R10, R11",0603,2,5.1k,C23186
R15,0603,1,330R,C23138
"R2, R21, R6, R7, R8, R9",0603,6,10K,C25804
"R3, R4",0603,2,27,C22941
R5,0603,1,1k,
"SW1, SW2, SW3",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,3,SW_Push,C609852
U1,SOT-23-5,1,RT9080-33GJ5,C841192
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVS,C131025
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,HOPERF_RFM9XW_SMD,1,RFM69HCW,C2844478
U5,TSOT-23-6,1,AP63205WU,C2071056
U6,SOT-23-5,1,74AHCT1G125,C7484
U7,3544-2,1,3544-2,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
